Count,Serial No.,Image Name,Annotations,X,Y,R,G,B,Grayscale,Hex,Prediction,CountBlue,CountBrown,Image Name.1,browntype,FinalPred,CountW,CountM,CountS,CountN
1,1,101.png,11,18,181,137,108,84,0.4409102201461792,#896c54,Brown,,1.0,101.png,2.0,M,,1.0,,
2,1,101.png,11,4,183,94,80,68,0.3219992220401764,#5e5044,Brown,,2.0,101.png,2.0,M,,2.0,,
3,1,101.png,11,22,198,77,47,36,0.2062035351991653,#4d2f24,Brown,,3.0,101.png,0.0,S,,,1.0,
4,1,101.png,11,41,177,107,106,138,0.4255674481391907,#6b6a8a,Blue,1.0,,101.png,,N,,,,1.0
5,1,101.png,11,42,154,84,53,42,0.2305662930011749,#54352a,Brown,,4.0,101.png,0.0,S,,,2.0,
6,1,101.png,11,52,159,118,109,140,0.4437160491943359,#766d8c,Blue,2.0,,101.png,,N,,,,2.0
7,1,101.png,11,72,109,94,48,29,0.2211964726448059,#5e301d,Brown,,5.0,101.png,0.0,S,,,3.0,
8,1,101.png,11,62,161,128,104,86,0.4227537214756012,#806856,Brown,,6.0,101.png,2.0,M,,3.0,,
9,1,101.png,11,147,128,157,150,174,0.6008545756340027,#9d96ae,Blue,3.0,,101.png,,N,,,,3.0
10,1,101.png,11,198,132,113,76,66,0.3260450959205627,#714c42,Brown,,7.0,101.png,2.0,M,,4.0,,
11,1,101.png,11,198,163,158,162,162,0.6319607496261597,#9ea2a2,Blue,4.0,,101.png,,N,,,,4.0
12,2,1025.png,18,29,172,84,43,33,0.1999666690826416,#542b21,Brown,,8.0,1025.png,0.0,S,,,4.0,
13,2,1025.png,18,22,193,75,38,21,0.1750462800264359,#4b2615,Brown,,9.0,1025.png,0.0,S,,,5.0,
14,2,1025.png,18,35,189,96,68,36,0.2809521853923798,#604424,Brown,,10.0,1025.png,2.0,M,,5.0,,
15,2,1025.png,18,25,31,75,52,73,0.2290258854627609,#4b3449,Brown,,11.0,1025.png,0.0,S,,,6.0,
16,2,1025.png,18,53,28,36,24,21,0.1032694131135941,#241815,Brown,,12.0,1025.png,0.0,S,,,7.0,
17,2,1025.png,18,77,18,67,33,16,0.1529384404420853,#432110,Brown,,13.0,1025.png,0.0,S,,,8.0,
18,2,1025.png,18,76,50,98,61,37,0.2632631361484528,#623d25,Brown,,14.0,1025.png,0.0,S,,,9.0,
19,2,1025.png,18,134,91,95,66,49,0.2781835496425629,#5f4231,Brown,,15.0,1025.png,2.0,M,,6.0,,
20,2,1025.png,18,185,88,39,25,18,0.1077266708016396,#271912,Brown,,16.0,1025.png,0.0,S,,,10.0,
21,2,1025.png,18,32,135,57,26,20,0.1260976493358612,#391a14,Brown,,17.0,1025.png,0.0,S,,,11.0,
22,2,1025.png,18,34,154,57,29,22,0.1350796073675156,#391d16,Brown,,18.0,1025.png,0.0,S,,,12.0,
23,2,1025.png,18,42,167,137,78,45,0.3457184433937073,#894e2d,Brown,,19.0,1025.png,2.0,M,,7.0,,
24,2,1025.png,18,77,116,94,53,31,0.23578941822052,#5e351f,Brown,,20.0,1025.png,0.0,S,,,13.0,
25,2,1025.png,18,56,171,75,36,22,0.1697180420160294,#4b2416,Brown,,21.0,1025.png,0.0,S,,,14.0,
26,2,1025.png,18,46,180,41,32,22,0.1301627457141876,#292016,Brown,,22.0,1025.png,0.0,S,,,15.0,
27,2,1025.png,18,55,195,39,20,18,0.0936992168426513,#271412,Brown,,23.0,1025.png,0.0,S,,,16.0,
28,2,1025.png,18,40,198,32,21,19,0.0909541249275207,#201513,Brown,,24.0,1025.png,0.0,S,,,17.0,
29,2,1025.png,18,60,182,93,51,29,0.228779599070549,#5d331d,Brown,,25.0,1025.png,0.0,S,,,18.0,
30,3,1033.png,46,35,43,55,23,15,0.1146007850766182,#37170f,Brown,,26.0,1033.png,0.0,S,,,19.0,
31,3,1033.png,46,20,22,47,36,19,0.1455364674329758,#2f2413,Brown,,27.0,1033.png,0.0,S,,,20.0,
32,3,1033.png,46,30,25,63,59,43,0.2301819622516632,#3f3b2b,Brown,,28.0,1033.png,0.0,S,,,21.0,
33,3,1033.png,46,34,4,44,27,17,0.1172215715050697,#2c1b11,Brown,,29.0,1033.png,0.0,S,,,22.0,
34,3,1033.png,46,38,18,52,31,21,0.1362411826848984,#341f15,Brown,,30.0,1033.png,0.0,S,,,23.0,
35,3,1033.png,46,46,20,71,42,25,0.1840658932924271,#472a19,Brown,,31.0,1033.png,0.0,S,,,24.0,
36,3,1033.png,46,44,9,60,35,26,0.1555435210466385,#3c231a,Brown,,32.0,1033.png,0.0,S,,,25.0,
37,3,1033.png,46,62,36,73,46,24,0.1966717690229416,#492e18,Brown,,33.0,1033.png,0.0,S,,,26.0,
