Image Name,X,Y,Grayscale,Prediction,FinalPred,L,A,B
101.png,18,181,0.4409102201461792,Brown,M,47.8589,7.9936,17.8166
101.png,4,183,0.3219992220401764,Brown,M,35.0719,3.7042,9.2271
101.png,22,198,0.2062035351991653,Brown,S,22.7863,12.2881,12.741
101.png,41,177,0.4255674481391907,Blue,N,46.0002,7.7083,-17.4352
101.png,42,154,0.2305662930011749,Brown,S,25.5579,12.458,12.6452
101.png,52,159,0.4437160491943359,Blue,N,47.8572,10.1386,-15.7061
101.png,72,109,0.2211964726448059,Brown,S,25.51,18.9934,21.2293
101.png,62,161,0.4227537214756012,Brown,M,45.8549,6.7435,13.7473
101.png,147,128,0.6008545756340027,Blue,N,63.3733,7.3357,-11.5907
101.png,198,132,0.3260450959205627,Brown,M,36.1243,14.3057,12.2754
101.png,198,163,0.6319607496261597,Blue,N,66.3042,-1.4226,-0.5061
1025.png,29,172,0.1999666690826416,Brown,S,22.7316,17.7979,14.8615
1025.png,22,193,0.1750462800264359,Brown,S,19.7866,15.6622,18.7344
1025.png,35,189,0.2809521853923798,Brown,M,31.2271,8.0873,23.8947
1025.png,25,31,0.2290258854627609,Brown,S,25.0539,14.4514,-8.8692
1025.png,53,28,0.1032694131135941,Brown,S,9.6606,5.4795,4.4168
1025.png,77,18,0.1529384404420853,Brown,S,17.0766,14.5977,18.2557
1025.png,76,50,0.2632631361484528,Brown,S,29.5826,13.5019,21.3666
1025.png,134,91,0.2781835496425629,Brown,M,30.7623,10.2131,15.3255
1025.png,185,88,0.1077266708016396,Brown,S,10.3364,5.8557,7.3799
1025.png,32,135,0.1260976493358612,Brown,S,13.5863,14.5993,11.0236
1025.png,34,154,0.1350796073675156,Brown,S,14.4371,12.8271,10.7625
1025.png,42,167,0.3457184433937073,Brown,M,39.5073,21.7151,29.8585
1025.png,77,116,0.23578941822052,Brown,S,26.8053,16.0789,21.5403
1025.png,56,171,0.1697180420160294,Brown,S,19.2893,17.0,17.4944
1025.png,46,180,0.1301627457141876,Brown,S,12.9994,2.497,8.4305
1025.png,55,195,0.0936992168426513,Brown,S,8.784,9.4693,5.1681
1025.png,40,198,0.0909541249275207,Brown,S,8.0429,5.2447,3.3368
1025.png,60,182,0.228779599070549,Brown,S,26.1088,16.6915,21.902
1033.png,35,43,0.1146007850766182,Brown,S,12.3482,15.1124,12.2803
1033.png,20,22,0.1455364674329758,Brown,S,15.0244,2.4635,13.2585
1033.png,30,25,0.2301819622516632,Brown,S,24.8248,-1.3308,10.5679
1033.png,34,4,0.1172215715050697,Brown,S,11.6875,6.954,9.9667
1033.png,38,18,0.1362411826848984,Brown,S,14.1977,8.8243,10.9993
1033.png,46,20,0.1840658932924271,Brown,S,20.3051,11.4592,16.6319
1033.png,44,9,0.1555435210466385,Brown,S,16.6863,10.7437,11.0058
1033.png,62,36,0.1966717690229416,Brown,S,21.7131,9.7447,19.0502
1033.png,64,42,0.3325200080871582,Brown,M,36.6036,9.4415,15.936
1033.png,60,59,0.1177039220929146,Brown,S,12.5098,14.3531,10.1402
1033.png,81,59,0.311484307050705,Brown,M,34.531,5.5024,27.3982
1033.png,73,46,0.5738600492477417,Brown,W,60.8684,-8.2353,21.8542
1033.png,60,71,0.3041098117828369,Brown,M,33.1051,7.2788,-0.6141
1033.png,51,75,0.1854576468467712,Brown,S,20.51,10.3691,20.0495
1033.png,50,61,0.4540297985076904,Brown,M,49.3778,5.1386,28.4708
1033.png,61,87,0.2260486334562302,Brown,S,25.3752,16.4465,11.1821
1033.png,69,85,0.6491498351097107,Brown,W,68.0795,-2.1647,18.288
1033.png,78,84,0.2278290241956711,Brown,S,24.8734,6.4812,13.4785
1033.png,83,89,0.1650768667459488,Brown,S,17.7116,5.2917,18.7068
1033.png,90,82,0.4195917844772339,Brown,M,45.859,3.8493,29.4141
1033.png,98,78,0.2025278508663177,Brown,S,22.5585,11.0127,20.8098
1033.png,76,75,0.3808356821537018,Brown,M,42.3331,12.8349,29.1282
1033.png,89,55,0.2270831316709518,Brown,S,26.0301,16.2794,25.3856
1033.png,93,60,0.250644326210022,Brown,S,27.1437,6.434,-3.1245
1033.png,91,68,0.2073564678430557,Brown,S,22.8688,14.8492,3.42
1033.png,104,61,0.1486388295888901,Brown,S,15.3317,6.4966,3.2597
1033.png,97,39,0.2228788286447525,Brown,S,25.5956,16.3008,26.0109
1033.png,105,34,0.1699858903884888,Brown,S,19.4279,17.322,18.9948
1033.png,91,25,0.3682317733764648,Brown,M,39.9727,5.3566,4.5452
1033.png,89,14,0.469767838716507,Brown,W,50.7476,6.5657,18.9078
1033.png,82,5,0.5547772645950317,Brown,W,59.6666,6.512,35.9997
1033.png,68,3,0.1294835358858109,Brown,S,13.7964,14.0249,7.7352
1033.png,105,4,0.2341474592685699,Brown,S,25.218,3.9224,-2.7607
1033.png,106,14,0.2597898244857788,Brown,S,28.3422,4.2967,12.4077
1033.png,95,6,0.28807333111763,Brown,M,31.5176,8.933,5.4426
1033.png,120,3,0.2791588306427002,Brown,M,30.4326,8.6734,-0.079
1033.png,11,4,0.3093627393245697,Brown,M,33.8438,9.7522,3.7505
1033.png,20,9,0.4986545443534851,Brown,W,53.5471,9.1023,10.1069
1033.png,6,26,0.3977721929550171,Brown,M,43.4948,12.2226,11.7013
1033.png,18,33,0.5382055044174194,Brown,W,57.3433,7.3375,6.3141
1033.png,12,31,0.2763917744159698,Brown,M,29.9973,2.6543,5.0128
1033.png,33,34,0.5803980827331543,Brown,W,61.684,4.5805,22.2113
1033.png,65,77,0.2915466725826263,Brown,M,32.7522,17.2885,14.5207
1033.png,62,114,0.4441631734371185,Brown,M,47.805,3.9398,3.9175
1033.png,67,120,0.3612902164459229,Brown,M,39.1567,-0.3405,6.3256
1033.png,61,101,0.2282737195491791,Brown,S,25.6775,15.7216,14.8935
1038.png,137,6,0.1222058832645416,Brown,S,12.9206,14.3949,6.4826
1038.png,144,23,0.1194309741258621,Brown,S,12.2364,10.629,8.978
1038.png,163,6,0.1320517510175705,Brown,S,13.6184,8.6139,9.4793
1060.png,11,192,0.532782793045044,Brown,W,56.6495,-0.1676,-0.6713
1060.png,17,186,0.4025360643863678,Blue,N,43.589,9.0267,-13.9076
1060.png,38,194,0.4492603540420532,Brown,M,48.3026,5.2656,-3.7142
1060.png,48,197,0.2594023644924164,Blue,N,28.3144,11.3069,-17.026
1060.png,69,68,0.3952662944793701,Blue,N,42.7995,7.2634,-12.7189
1060.png,104,76,0.4065408110618591,Blue,N,43.9874,3.7069,-13.9772
1060.png,192,165,0.6506811380386353,Blue,N,68.1572,8.1807,-9.8906
1060.png,190,172,0.5259960889816284,Blue,N,55.9963,-0.3651,5.9071
1060.png,33,63,0.47138312458992,Blue,N,50.5662,6.5837,-5.0335
108.png,49,126,0.3027843236923218,Brown,M,33.6542,10.9305,20.5571
108.png,16,62,0.3087227344512939,Brown,M,34.0197,9.4466,14.8044
108.png,2,36,0.6149337291717529,Blue,N,64.8015,7.9276,-18.4353
108.png,76,104,0.5030670762062073,Brown,W,54.1696,9.3273,18.0057
108.png,96,110,0.2121952921152115,Brown,S,22.8871,4.2152,9.9657
108.png,139,116,0.4707521498203278,Blue,N,50.6686,3.8194,-19.1411
108.png,170,118,0.3526556789875031,Brown,M,38.8734,11.6683,16.1055
108.png,183,26,0.2501670718193054,Brown,S,27.7253,10.2993,16.8764
108.png,111,25,0.2310870736837387,Brown,S,25.844,13.1149,17.6228
108.png,101,13,0.1791560649871826,Brown,S,18.9982,3.4262,9.8749
108.png,93,7,0.4921447038650513,Blue,N,52.6394,5.4696,-6.6353
108.png,100,4,0.2081450968980789,Brown,S,23.2146,15.4086,10.077
108.png,123,10,0.3538399934768677,Brown,M,38.728,6.0103,16.9616
108.png,127,3,0.4474599957466125,Blue,N,48.3124,7.8122,-20.993
108.png,144,2,0.5868278741836548,Blue,N,61.9823,5.6996,-7.4791
109.png,163,22,0.6036223769187927,Blue,N,63.6461,8.2993,-10.0204
109.png,177,7,0.6803877949714661,Blue,N,70.92,3.1281,-4.1039
109.png,155,19,0.3983764946460724,Blue,N,43.2302,9.9747,-18.7116
109.png,109,51,0.1718250960111618,Brown,S,18.4314,10.6849,5.0807
109.png,124,61,0.3906133472919464,Brown,M,43.4776,13.9248,30.6458
109.png,123,75,0.5463482737541199,Blue,N,58.1135,3.3113,-15.7505
109.png,179,116,0.2541945278644562,Brown,S,27.7272,1.2955,16.5879
109.png,71,182,0.2308945208787918,Brown,S,25.2972,8.1896,12.8076
